تاریخ	        اذان صبح	طلوع	    اذان ظهر	  غروب	   اذان مغرب	نیمه شب
١٢ خرداد ١٤٠٢	٠٣:٢٨:٢٩	٠٤:٥٧:٥٦	١١:٥١:٢٤	١٨:٤٥:٠٣	١٩:٠٣:٣٧	٢٣:٠٦:٣٦
١٣ خرداد ١٤٠٢	٠٣:٢٨:٠٩	٠٤:٥٧:٤٦	١١:٥١:٣٣	١٨:٤٥:٣٢	١٩:٠٤:٠٨	٢٣:٠٦:٤٢
١٤ خرداد ١٤٠٢	٠٣:٢٧:٥١	٠٤:٥٧:٣٧	١١:٥١:٤٣	١٨:٤٦:٠٠	١٩:٠٤:٣٧	٢٣:٠٦:٤٨
١٥ خرداد ١٤٠٢	٠٣:٢٧:٣٥	٠٤:٥٧:٢٩	١١:٥١:٥٤	١٨:٤٦:٢٨	١٩:٠٥:٠٦	٢٣:٠٦:٥٤
١٦ خرداد ١٤٠٢	٠٣:٢٧:٢٠	٠٤:٥٧:٢٣	١١:٥٢:٠٤	١٨:٤٦:٥٥	١٩:٠٥:٣٤	٢٣:٠٧:٠١
١٧ خرداد ١٤٠٢	٠٣:٢٧:٠٨	٠٤:٥٧:١٨	١١:٥٢:١٥	١٨:٤٧:٢١	١٩:٠٦:٠٢	٢٣:٠٧:٠٩
١٨ خرداد ١٤٠٢	٠٣:٢٦:٥٧	٠٤:٥٧:١٤	١١:٥٢:٢٦	١٨:٤٧:٤٦	١٩:٠٦:٢٨	٢٣:٠٧:١٧
١٩ خرداد ١٤٠٢	٠٣:٢٦:٤٧	٠٤:٥٧:١٢	١١:٥٢:٣٨	١٨:٤٨:١١	١٩:٠٦:٥٤	٢٣:٠٧:٢٦
٢٠ خرداد ١٤٠٢	٠٣:٢٦:٤٠	٠٤:٥٧:١١	١١:٥٢:٥٠	١٨:٤٨:٣٥	١٩:٠٧:١٩	٢٣:٠٧:٣٥
٢١ خرداد ١٤٠٢	٠٣:٢٦:٣٤	٠٤:٥٧:١١	١١:٥٣:٠٢	١٨:٤٨:٥٩	١٩:٠٧:٤٣	٢٣:٠٧:٤٤
٢٢ خرداد ١٤٠٢	٠٣:٢٦:٣٠	٠٤:٥٧:١٣	١١:٥٣:١٤	١٨:٤٩:٢١	١٩:٠٨:٠٧	٢٣:٠٧:٥٥
٢٣ خرداد ١٤٠٢	٠٣:٢٦:٢٨	٠٤:٥٧:١٦	١١:٥٣:٢٧	١٨:٤٩:٤٣	١٩:٠٨:٢٩	٢٣:٠٨:٠٥
٢٤ خرداد ١٤٠٢	٠٣:٢٦:٢٨	٠٤:٥٧:٢٠	١١:٥٣:٣٩	١٨:٥٠:٠٣	١٩:٠٨:٥٠	٢٣:٠٨:١٦
٢٥ خرداد ١٤٠٢	٠٣:٢٦:٢٩	٠٤:٥٧:٢٥	١١:٥٣:٥٢	١٨:٥٠:٢٣	١٩:٠٩:١١	٢٣:٠٨:٢٨
٢٦ خرداد ١٤٠٢	٠٣:٢٦:٣٢	٠٤:٥٧:٣١	١١:٥٤:٠٥	١٨:٥٠:٤٢	١٩:٠٩:٣٠	٢٣:٠٨:٣٩
٢٧ خرداد ١٤٠٢	٠٣:٢٦:٣٧	٠٤:٥٧:٣٩	١١:٥٤:١٨	١٨:٥١:٠٠	١٩:٠٩:٤٨	٢٣:٠٨:٥٢
٢٨ خرداد ١٤٠٢	٠٣:٢٦:٤٣	٠٤:٥٧:٤٨	١١:٥٤:٣١	١٨:٥١:١٧	١٩:١٠:٠٥	٢٣:٠٩:٠٤
٢٩ خرداد ١٤٠٢	٠٣:٢٦:٥١	٠٤:٥٧:٥٧	١١:٥٤:٤٤	١٨:٥١:٣٣	١٩:١٠:٢٢	٢٣:٠٩:١٧
٣٠ خرداد ١٤٠٢	٠٣:٢٧:٠١	٠٤:٥٨:٠٨	١١:٥٤:٥٨	١٨:٥١:٤٨	١٩:١٠:٣٦	٢٣:٠٩:٣٠
٣١ خرداد ١٤٠٢	٠٣:٢٧:١٢	٠٤:٥٨:٢٠	١١:٥٥:١١	١٨:٥٢:٠١	١٩:١٠:٥٠	٢٣:٠٩:٤٣
٠١ تیر ١٤٠٢	٠٣:٢٧:٢٥	٠٤:٥٨:٣٣	١١:٥٥:٢٤	١٨:٥٢:١٤	١٩:١١:٠٣	٢٣:٠٩:٥٧
٠٢ تیر ١٤٠٢	٠٣:٢٧:٤٠	٠٤:٥٨:٤٨	١١:٥٥:٣٧	١٨:٥٢:٢٥	١٩:١١:١٤	٢٣:١٠:١٠
٠٣ تیر ١٤٠٢	٠٣:٢٧:٥٦	٠٤:٥٩:٠٣	١١:٥٥:٥٠	١٨:٥٢:٣٦	١٩:١١:٢٤	٢٣:١٠:٢٤
٠٤ تیر ١٤٠٢	٠٣:٢٨:١٣	٠٤:٥٩:١٩	١١:٥٦:٠٣	١٨:٥٢:٤٥	١٩:١١:٣٣	٢٣:١٠:٣٨
٠٥ تیر ١٤٠٢	٠٣:٢٨:٣٢	٠٤:٥٩:٣٦	١١:٥٦:١٦	١٨:٥٢:٥٢	١٩:١١:٤٠	٢٣:١٠:٥٣
٠٦ تیر ١٤٠٢	٠٣:٢٨:٥٣	٠٤:٥٩:٥٤	١١:٥٦:٢٨	١٨:٥٢:٥٩	١٩:١١:٤٦	٢٣:١١:٠٧
٠٧ تیر ١٤٠٢	٠٣:٢٩:١٥	٠٥:٠٠:١٢	١١:٥٦:٤٠	١٨:٥٣:٠٤	١٩:١١:٥١	٢٣:١١:٢١
٠٨ تیر ١٤٠٢	٠٣:٢٩:٣٨	٠٥:٠٠:٣٢	١١:٥٦:٥٣	١٨:٥٣:٠٨	١٩:١١:٥٤	٢٣:١١:٣٦
٠٩ تیر ١٤٠٢	٠٣:٣٠:٠٣	٠٥:٠٠:٥٢	١١:٥٧:٠٥	١٨:٥٣:١١	١٩:١١:٥٧	٢٣:١١:٥٠
١٠ تیر ١٤٠٢	٠٣:٣٠:٢٩	٠٥:٠١:١٤	١١:٥٧:١٦	١٨:٥٣:١٣	١٩:١١:٥٧	٢٣:١٢:٠٤
١١ تیر ١٤٠٢	٠٣:٣٠:٥٦	٠٥:٠١:٣٦	١١:٥٧:٢٨	١٨:٥٣:١٣	١٩:١١:٥٧	٢٣:١٢:١٩
١٢ تیر ١٤٠٢	٠٣:٣١:٢٤	٠٥:٠١:٥٩	١١:٥٧:٣٩	١٨:٥٣:١٢	١٩:١١:٥٤	٢٣:١٢:٣٣
١٣ تیر ١٤٠٢	٠٣:٣١:٥٤	٠٥:٠٢:٢٢	١١:٥٧:٥٠	١٨:٥٣:٠٩	١٩:١١:٥١	٢٣:١٢:٤٧
١٤ تیر ١٤٠٢	٠٣:٣٢:٢٥	٠٥:٠٢:٤٦	١١:٥٨:٠٠	١٨:٥٣:٠٦	١٩:١١:٤٦	٢٣:١٣:٠١
١٥ تیر ١٤٠٢	٠٣:٣٢:٥٧	٠٥:٠٣:١١	١١:٥٨:١٠	١٨:٥٣:٠١	١٩:١١:٤٠	٢٣:١٣:١٥
١٦ تیر ١٤٠٢	٠٣:٣٣:٣٠	٠٥:٠٣:٣٧	١١:٥٨:٢٠	١٨:٥٢:٥٤	١٩:١١:٣٢	٢٣:١٣:٢٩
١٧ تیر ١٤٠٢	٠٣:٣٤:٠٤	٠٥:٠٤:٠٣	١١:٥٨:٣٠	١٨:٥٢:٤٧	١٩:١١:٢٣	٢٣:١٣:٤٣
١٨ تیر ١٤٠٢	٠٣:٣٤:٣٩	٠٥:٠٤:٣٠	١١:٥٨:٣٩	١٨:٥٢:٣٨	١٩:١١:١٣	٢٣:١٣:٥٧
١٩ تیر ١٤٠٢	٠٣:٣٥:١٥	٠٥:٠٤:٥٧	١١:٥٨:٤٨	١٨:٥٢:٢٧	١٩:١١:٠١	٢٣:١٤:١٠
٢٠ تیر ١٤٠٢	٠٣:٣٥:٥٣	٠٥:٠٥:٢٥	١١:٥٨:٥٦	١٨:٥٢:١٥	١٩:١٠:٤٨	٢٣:١٤:٢٣
٢١ تیر ١٤٠٢	٠٣:٣٦:٣١	٠٥:٠٥:٥٣	١١:٥٩:٠٤	١٨:٥٢:٠٢	١٩:١٠:٣٣	٢٣:١٤:٣٦
٢٢ تیر ١٤٠٢	٠٣:٣٧:٠٩	٠٥:٠٦:٢٢	١١:٥٩:١١	١٨:٥١:٤٨	١٩:١٠:١٧	٢٣:١٤:٤٨
٢٣ تیر ١٤٠٢	٠٣:٣٧:٤٩	٠٥:٠٦:٥١	١١:٥٩:١٨	١٨:٥١:٣٢	١٩:٠٩:٥٩	٢٣:١٥:٠١
٢٤ تیر ١٤٠٢	٠٣:٣٨:٢٩	٠٥:٠٧:٢١	١١:٥٩:٢٥	١٨:٥١:١٥	١٩:٠٩:٤١	٢٣:١٥:١٣
٢٥ تیر ١٤٠٢	٠٣:٣٩:١٠	٠٥:٠٧:٥١	١١:٥٩:٣١	١٨:٥٠:٥٧	١٩:٠٩:٢٠	٢٣:١٥:٢٤
٢٦ تیر ١٤٠٢	٠٣:٣٩:٥٢	٠٥:٠٨:٢١	١١:٥٩:٣٦	١٨:٥٠:٣٧	١٩:٠٨:٥٩	٢٣:١٥:٣٦
٢٧ تیر ١٤٠٢	٠٣:٤٠:٣٤	٠٥:٠٨:٥٢	١١:٥٩:٤١	١٨:٥٠:١٦	١٩:٠٨:٣٦	٢٣:١٥:٤٦
٢٨ تیر ١٤٠٢	٠٣:٤١:١٧	٠٥:٠٩:٢٣	١١:٥٩:٤٦	١٨:٤٩:٥٣	١٩:٠٨:١١	٢٣:١٥:٥٧
٢٩ تیر ١٤٠٢	٠٣:٤٢:٠٠	٠٥:٠٩:٥٤	١١:٥٩:٥٠	١٨:٤٩:٢٩	١٩:٠٧:٤٥	٢٣:١٦:٠٧
٣٠ تیر ١٤٠٢	٠٣:٤٢:٤٤	٠٥:١٠:٢٦	١١:٥٩:٥٣	١٨:٤٩:٠٤	١٩:٠٧:١٨	٢٣:١٦:١٦
٣١ تیر ١٤٠٢	٠٣:٤٣:٢٨	٠٥:١٠:٥٧	١١:٥٩:٥٦	١٨:٤٨:٣٧	١٩:٠٦:٤٩	٢٣:١٦:٢٥
٠١ مرداد ١٤٠٢	٠٣:٤٤:١٣	٠٥:١١:٢٩	١١:٥٩:٥٨	١٨:٤٨:٠٩	١٩:٠٦:١٩	٢٣:١٦:٣٤
٠٢ مرداد ١٤٠٢	٠٣:٤٤:٥٨	٠٥:١٢:٠١	١١:٥٩:٥٩	١٨:٤٧:٤٠	١٩:٠٥:٤٨	٢٣:١٦:٤١
